"biaId","name","brands","legalName","identificationNumber","address","city","phones","fax","emails","website","facebook","instagram","linkedin","youtube","categories","companySize","yearFounded","employees","description","workingHours","lat","lng","logoUrl","biaUrl","sourceSubcategory","sourceSubcategoryId","sourceCategory","sourceCategoryId"
"118106","ეიენსი ჯგუფი","ეიენსი ჯგუფი","","438116334","3800, კახეთი, საგარეჯოს რაიონი, საგარეჯო, ერეკლე II ქ. 212","","+995555212161","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; ფრინველის საკვებით ვაჭრობა; ცხოველების საკვებით ვაჭრობა","","","","","ორშაბათი - კვირა: 09:00 - 18:00","","","","https://www.bia.ge/Company/118106","Subcategory 3279","3279","Direct",""
"94954","ზუკო","ზუკო","","400029759","0197, თბილისი, გლდანი-ნაძალადევის რაიონი, ზღვის უბანი (თემქა) IV მ/რ 2 კორპ., ბ. 47","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; ელექტროხელსაწყოებით და ელექტროპროდუქციით ვაჭრობა","","","","","ორშაბათი - კვირა: 08:30 - 17:30","","","","https://www.bia.ge/Company/94954","Subcategory 3279","3279","Direct",""
"3913","მასტერ თრეიდი","მასტერ თრეიდი","","205217941","0160, თბილისი, ვაკე-საბურთალოს რაიონი, დ. გამრეკელის ქ. 19","","+995599134443; +995322910504","","","http://www.snickers.ge/","https://www.facebook.com/Master-Trade-მასტერ-თრეიდი-2742395332652833/","","","","დისტრიბუტორები; დილერები; შოკოლადის ნაწარმით ვაჭრობა; საღეჭი რეზინით ვაჭრობა (საბითუმო); ტკბილეულით ვაჭრობა; ცხოველების საკვებით ვაჭრობა","","","","","ორშაბათი - პარასკევი: 09:30 - 17:00","","","","https://www.bia.ge/Company/3913","Subcategory 3279","3279","Direct",""
"101051","ა.ვ.ა ინტერნეიშენალი","ა.ვ.ა ინტერნეიშენალი","","400248406","0180, თბილისი, დიდუბე-ჩუღურეთის რაიონი, ზესტაფონის ქ. 4/14, 1 კორპ., ბ. 26","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; კვების პროდუქტებით ვაჭრობა (საბითუმო); ტკბილეულით ვაჭრობა; მედიკამენტებით ვაჭრობა; ბავშვთა საკვები პროდუქტებით ვაჭრობა (საბითუმო)","","","","","არანორმირებული","","","","https://www.bia.ge/Company/101051","Subcategory 3279","3279","Direct",""
"104065","ბმბ","ბმბ","","426538482","1329, ქვემო ქართლი, გარდაბნის რაიონი, ყარაჯალარი 10, 25","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; კარებით ვაჭრობა","","","","","ორშაბათი - პარასკევი: 09:00 - 18:00","","","","https://www.bia.ge/Company/104065","Subcategory 3279","3279","Direct",""
"93324","ენერჯი","ენერჯი","","400113854","0159, თბილისი, დიდუბე-ჩუღურეთის რაიონი, ბელიაშვილის ქ. 35","","+995577739339; +995322880820","","","https://www.ener.ge/","https://www.facebook.com/www.ener.ge","","https://www.linkedin.com/company/ener-ge/","https://www.youtube.com/channel/UCOvvHAz5HY90WH-dk7ERCZQ?view_as=subscriber","ავტოსერვისის და ავტოსამრეცხაო დანადგარებით; მოწყობილობებით ვაჭრობა; ავტოსერვისის და ავტოსამრეცხაო დანადგარებით, მოწყობილობებით ვაჭრობა; დილერები; ონლაინ პლატფორმა; კონდენციონერებით ვაჭრობა და მონტაჟი; სამშენებლო ტექნიკით და ინსტრუმენტებით ვაჭრობა; ელექტროხელსაწყოებით და ელექტროპროდუქციით ვაჭრობა; გათბობის სისტემებით და მოწყობილობებით ვაჭრობა, მონტაჟი; სავენტილაციო სისტემებით და მოწყობილობებით ვაჭრობა,მონტაჟი; დასუფთავების, ქიმწმენდის, სამრეცხაოს დანადგარებით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 19:00","","","","https://www.bia.ge/Company/93324","Subcategory 3279","3279","Direct",""
"118105","ვეტები","ვეტები","","438109690","3800, კახეთი, საგარეჯოს რაიონი, საგარეჯო, ზ. ქურხულის ქ. 11","","+995598181840","","","","https://www.facebook.com/profile.php?id=100063572822687","","","","დილერები; ვეტერინარული აფთიაქები; ვეტერინარული მომსახურება; ცხოველების საკვებით ვაჭრობა; ფრინველის საკვებით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 19:00","","","","https://www.bia.ge/Company/118105","Subcategory 3279","3279","Direct",""
"108069","თი","ტოიოტა ცენტრი ბათუმი","","445580773","6000, აჭარის ავტონომიური რესპუბლიკა, ბათუმი, ლეონიძის ქ. 29","","+995422246006","","","https://www.toyota.ge/dealers/tba","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","ავტოსერვისი; ავტომობილებით ვაჭრობა; ავტონაწილებითა და აქსესუარებით ვაჭრობა (საცალო); დილერები","","","","","ორშაბათი - პარასკევი: 09:30 - 18:30","","","","https://www.bia.ge/Company/108069","Subcategory 3279","3279","Direct",""
"91961","მოკა","მოკა","","404535320","0102, თბილისი, დიდუბე-ჩუღურეთის რაიონი, კ. მარჯანიშვილის ქ. 16, 4 კორპ., ბ. 10","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; ყავის აპარატებით ვაჭრობა, მომსახურება","","","","","ორშაბათი - შაბათი: 10:00 - 19:00","","","","https://www.bia.ge/Company/91961","Subcategory 3279","3279","Direct",""
"120612","ნოვკომ","პეჟო საქართველო","","404535614","0102, თბილისი, დიდუბე-ჩუღურეთის რაიონი, დ. აღმაშენებლის გამზ. 129 ა","","+995322192195","","","","https://www.facebook.com/PeugeotGeorgia.Off/","","","","ავტომობილებით ვაჭრობა; დილერები","","","","","ორშაბათი - პარასკევი: 10:00 - 18:00","","","","https://www.bia.ge/Company/120612","Subcategory 3279","3279","Direct",""
